STATE/UT,DISTRICT,YEAR,MURDER,RAPE,KIDNAPPING & ABDUCTION,ROBBERY,THEFT,TOTAL IPC CRIMES
ANDHRA PRADESH,ADILABAD,2001,101,50,46,41,199,4154
ANDHRA PRADESH,ANANTAPUR,2001,151,23,53,16,366,4125
ANDHRA PRADESH,CHITTOOR,2001,101,27,59,14,723,5818
ANDHRA PRADESH,CUDDAPAH,2001,80,20,25,4,173,3140
ANDHRA PRADESH,EAST GODAVARI,2001,82,23,49,25,1021,6507
ANDHRA PRADESH,GUNTAKAL RLY.,2001,3,0,0,2,162,287
ANDHRA PRADESH,GUNTUR,2001,182,54,82,59,1122,7848
ANDHRA PRADESH,HYDERABAD CITY,2001,111,37,80,67,2792,11831
ANDHRA PRADESH,KARIMNAGAR,2001,162,56,67,50,392,5811
ANDHRA PRADESH,KHAMMAM,2001,93,47,41,13,368,4582
ANDHRA PRADESH,KRISHNA,2001,65,37,36,15,478,4779
ANDHRA PRADESH,KURNOOL,2001,133,29,47,22,297,4581
ANDHRA PRADESH,MAHABOOBNAGAR,2001,157,59,42,27,316,4819
ANDHRA PRADESH,MEDAK,2001,101,35,26,26,286,3532
ANDHRA PRADESH,NALGONDA,2001,122,35,27,28,318,5002
ANDHRA PRADESH,NELLORE,2001,89,46,90,16,608,5245
ANDHRA PRADESH,NIZAMABAD,2001,106,21,38,22,234,3621
ANDHRA PRADESH,PRAKASHAM,2001,102,19,31,14,278,3678
ANDHRA PRADESH,RANGA REDDY,2001,214,72,106,78,1296,9867
ANDHRA PRADESH,SECUNDERABAD RLY.,2001,6,0,0,10,296,439
ANDHRA PRADESH,SRIKAKULAM,2001,38,8,12,4,231,2572
ANDHRA PRADESH,VIJAYAWADA,2001,53,25,70,27,2057,6733
ANDHRA PRADESH,VIJAYAWADA RLY.,2001,2,1,0,1,265,320
ANDHRA PRADESH,VISAKHA RURAL,2001,58,12,12,3,165,3183
ANDHRA PRADESH,VISAKHAPATNAM,2001,22,13,13,5,630,3422
ANDHRA PRADESH,VIZIANAGARAM,2001,33,8,8,2,144,2178
ANDHRA PRADESH,WARANGAL,2001,158,53,81,23,418,6319
ANDHRA PRADESH,WEST GODAVARI,2001,77,61,41,15,1116,5696
ANDHRA PRADESH,TOTAL,2001,2602,871,1182,629,16751,130089
ARUNACHAL PRADESH,CHANGLANG,2001,11,1,3,4,24,163
ARUNACHAL PRADESH,DIBANG VALLEY,2001,3,2,4,5,19,139
ARUNACHAL PRADESH,KAMENG EAST,2001,3,2,7,6,26,126
ARUNACHAL PRADESH,KAMENG WEST,2001,4,0,2,0,26,103
ARUNACHAL PRADESH,LOHIT,2001,16,2,6,8,31,190
ARUNACHAL PRADESH,PAPUM PARE,2001,11,9,15,29,109,498
ARUNACHAL PRADESH,SIANG EAST,2001,7,5,11,8,52,243
ARUNACHAL PRADESH,SIANG UPPER,2001,1,2,5,0,9,56
ARUNACHAL PRADESH,SIANG WEST,2001,5,4,17,10,72,361
ARUNACHAL PRADESH,SUBANSIRI LOWER,2001,8,2,6,7,25,148
ARUNACHAL PRADESH,SUBANSIRI UPPER,2001,4,2,1,5,20,140
ARUNACHAL PRADESH,TAWANG,2001,2,1,0,0,13,48
ARUNACHAL PRADESH,TIRAP,2001,8,1,6,2,17,127
ARUNACHAL PRADESH,TOTAL,2001,83,33,83,84,443,2342
ASSAM,BARPETA,2001,64,28,105,45,187,1778
ASSAM,BONGAIGAON,2001,45,20,36,25,92,810
ASSAM,C.I.D.,2001,0,0,0,0,1,8
ASSAM,CACHAR,2001,52,45,104,42,359,3462
ASSAM,DARRANG,2001,61,48,64,29,185,1454
ASSAM,DHEMAJI,2001,15,42,31,12,79,652
ASSAM,DHUBRI,2001,65,43,69,19,83,1505
ASSAM,DIBRUGARH,2001,110,35,57,29,325,1565
ASSAM,G.R.P.,2001,13,1,3,16,135,343
ASSAM,GOALPARA,2001,28,35,43,13,116,873
ASSAM,GOLAGHAT,2001,53,30,44,27,211,1166
ASSAM,GUWAHATI CITY,2001,71,37,129,73,736,4373
ASSAM,HAILAKANDI,2001,18,24,36,8,92,820
ASSAM,JORHAT,2001,40,42,37,27,230,1190
ASSAM,KAMRUP,2001,37,21,95,41,275,2011
ASSAM,KARBI ANGLONG,2001,65,5,38,33,79,721
ASSAM,KARIMGANJ,2001,32,33,42,5,114,843
ASSAM,KOKRAJHAR,2001,87,14,41,10,89,776
ASSAM,LAKHIMPUR,2001,26,64,72,47,195,1779
ASSAM,MORIGAON,2001,20,23,39,10,66,731
ASSAM,N.C.HILLS,2001,17,2,8,5,30,187
ASSAM,NAGAON,2001,95,51,119,33,491,3202
ASSAM,NALBARI,2001,79,30,53,39,119,1194
ASSAM,R.P.O.,2001,11,3,2,2,29,101
ASSAM,SIBSAGAR,2001,59,47,64,41,343,1643
ASSAM,SONITPUR,2001,86,53,87,21,356,2309
ASSAM,TINSUKIA,2001,107,41,62,35,350,1381
ASSAM,TOTAL,2001,1356,817,1480,687,5367,36877
BIHAR,ARARIA,2001,47,93,79,43,161,2069
BIHAR,ARWAL,2001,37,0,13,8,24,591
BIHAR,AURANGABAD,2001,74,16,24,28,103,1690
BIHAR,BAGAHA,2001,34,25,56,9,115,912
BIHAR,BANKA,2001,93,34,27,39,73,1386
BIHAR,BEGUSARAI,2001,124,13,53,67,265,2628
BIHAR,BETTIAH,2001,66,20,84,32,265,2796
BIHAR,BHABHUA,2001,41,10,43,26,184,1368
BIHAR,BHAGALPUR,2001,128,35,66,55,370,2634
BIHAR,BHOJPUR,2001,135,22,46,49,214,2806
BIHAR,BUXAR,2001,56,8,34,34,179,1674
BIHAR,DARBHANGA,2001,53,19,39,37,103,2572
BIHAR,GAYA,2001,200,25,66,114,416,3182
BIHAR,GOPALGANJ,2001,107,13,59,73,153,2098
BIHAR,JAMALPUR RLY.,2001,7,1,4,13,117,225
BIHAR,JAMUI,2001,67,10,14,14,81,1046
BIHAR,JEHANABAD,2001,73,6,35,22,121,1353
BIHAR,KATIHAR,2001,60,51,49,30,146,1811
BIHAR,KATIHAR RLY.,2001,7,0,3,19,221,417
BIHAR,KHAGARIA,2001,72,5,34,29,86,895
BIHAR,KISHANGANJ,2001,25,22,23,10,57,897
BIHAR,LAKHISARAI,2001,61,10,30,13,79,754
BIHAR,MADHEPURA,2001,56,11,49,31,69,1062
BIHAR,MADHUBANI,2001,35,13,36,17,98,2897
BIHAR,MOTIHARI,2001,114,44,100,79,271,3881
BIHAR,MUNGER,2001,51,11,45,29,157,1758
BIHAR,MUZAFFARPUR,2001,153,73,113,135,538,4212
BIHAR,MUZAFFARPUR RLY.,2001,13,2,5,15,313,538
BIHAR,NALANDA,2001,208,40,126,97,412,3479
BIHAR,NAUGACHIA,2001,36,7,29,18,32,570
BIHAR,NAWADAH,2001,77,15,42,31,66,1515
BIHAR,PATNA,2001,434,27,197,414,1568,8583
BIHAR,PATNA RLY.,2001,24,1,3,21,811,1127
BIHAR,PURNEA,2001,104,39,64,97,227,2054
BIHAR,ROHTAS,2001,127,25,72,68,317,2961
BIHAR,SAHARSA,2001,36,12,27,15,56,1066
BIHAR,SAMASTIPUR,2001,107,19,75,61,247,2853
BIHAR,SARAN,2001,137,20,65,93,246,3442
BIHAR,SHEIKHPURA,2001,28,3,16,12,89,804
BIHAR,SHEOHAR,2001,18,11,13,8,16,428
BIHAR,SITAMARHI,2001,51,23,34,15,132,1797
BIHAR,SIWAN,2001,116,4,51,100,112,1853
BIHAR,SUPAUL,2001,41,30,26,40,129,1672
BIHAR,VAISHALI,2001,110,20,90,43,262,4076
BIHAR,TOTAL,2001,3643,888,2159,2203,9701,88432
CHHATTISGARH,BALRAMPUR,2001,13,17,1,11,21,235
CHHATTISGARH,BILASPUR,2001,99,69,20,37,690,4353
CHHATTISGARH,BIZAPUR,2001,9,4,0,6,3,86
CHHATTISGARH,DANTEWARA,2001,83,19,11,5,64,739
CHHATTISGARH,DHAMTARI,2001,14,22,4,0,110,996
CHHATTISGARH,DURG,2001,76,144,57,50,893,6544
CHHATTISGARH,GRP RAIPUR,2001,2,0,0,9,197,315
CHHATTISGARH,JAGDALPUR,2001,80,59,6,23,172,1812
CHHATTISGARH,JANJGIR,2001,48,29,9,25,237,2059
CHHATTISGARH,JASHPUR,2001,37,36,2,17,54,719
CHHATTISGARH,KANKER,2001,31,42,4,5,53,760
CHHATTISGARH,KAWARDHA,2001,19,35,1,2,43,685
CHHATTISGARH,KORBA,2001,33,46,13,8,305,2112
CHHATTISGARH,KORIYA,2001,35,34,7,6,153,1644
CHHATTISGARH,MAHASAMUND,2001,18,43,7,6,146,1185
CHHATTISGARH,RAIGARH,2001,50,53,6,13,173,1650
CHHATTISGARH,RAIPUR,2001,92,104,38,58,953,6786
CHHATTISGARH,RAJNANDGAON,2001,36,58,4,15,231,2650
CHHATTISGARH,SARGUJA,2001,105,145,17,42,314,3130
CHHATTISGARH,TOTAL,2001,880,959,207,338,4812,38460
GOA,NORTH GOA,2001,22,4,4,10,291,1271
GOA,SOUTH GOA,2001,14,8,5,15,285,1070
GOA,TOTAL,2001,36,12,9,25,576,2341
GUJARAT,AHMEDABAD COMMR.,2001,90,39,143,192,3588,13496
GUJARAT,AHMEDABAD RURAL,2001,26,5,27,25,225,2146
GUJARAT,AHWA-DANG,2001,6,1,2,1,8,147
GUJARAT,AMRELI,2001,41,2,39,25,199,2191
GUJARAT,ANAND,2001,28,3,30,14,427,3879
GUJARAT,BHARUCH,2001,37,4,39,17,388,3052
GUJARAT,BHAVNAGAR,2001,64,9,60,48,561,5088
GUJARAT,DAHOD,2001,36,5,15,44,120,1717
GUJARAT,GANDHINAGAR,2001,25,4,15,22,585,3478
GUJARAT,HIMATNAGAR,2001,55,17,31,29,191,4013
GUJARAT,JAMNAGAR,2001,48,20,27,20,530,3857
GUJARAT,JUNAGADH,2001,56,14,46,52,547,5186
GUJARAT,KHEDA NORTH,2001,42,11,30,19,358,3851
GUJARAT,KUTCH,2001,34,2,24,11,307,3355
GUJARAT,MEHSANA,2001,28,4,58,45,557,5175
GUJARAT,NARMADA,2001,16,8,9,0,46,536
GUJARAT,NAVSARI,2001,26,2,6,13,120,1404
GUJARAT,PALANPUR,2001,52,18,41,47,420,3887
GUJARAT,PANCHMAHAL,2001,56,5,46,19,313,2535
GUJARAT,PATAN,2001,24,3,21,19,220,2447
GUJARAT,PORBANDAR,2001,15,6,5,3,116,1215
GUJARAT,RAJKOT COMMR.,2001,29,5,46,31,1245,4774
GUJARAT,RAJKOT RURAL,2001,30,20,40,23,378,4402
GUJARAT,SURAT COMMR.,2001,98,11,57,59,1422,3995
GUJARAT,SURAT RURAL,2001,62,26,23,28,219,1766
GUJARAT,SURENDRANAGAR,2001,38,11,29,13,204,3113
GUJARAT,VADODARA COMMR.,2001,34,3,35,39,997,5047
GUJARAT,VADODARA RURAL,2001,71,18,38,21,210,3137
GUJARAT,VALSAD,2001,44,9,16,25,432,3109
GUJARAT,W.RLY,2001,15,1,0,87,901,1421
GUJARAT,TOTAL,2001,1226,286,998,991,15834,103419
HARYANA,AMBALA,2001,26,11,38,18,365,2346
HARYANA,BHIWANI,2001,40,10,9,19,190,1855
HARYANA,FARIDABAD,2001,68,37,78,44,668,5808
HARYANA,FATEHABAD,2001,18,17,20,11,141,1214
HARYANA,GRP,2001,24,0,2,5,169,615
HARYANA,GURGAON,2001,69,32,50,51,794,3502
HARYANA,HISSAR,2001,45,10,26,27,438,2830
HARYANA,JHAJJAR,2001,48,21,14,25,183,1501
HARYANA,JIND,2001,37,21,12,28,148,1452
HARYANA,KAITHAL,2001,33,16,9,9,144,1195
HARYANA,KARNAL,2001,42,44,31,16,468,2383
HARYANA,KURUKSHETRA,2001,20,31,14,13,343,1753
HARYANA,MAHENDRAGARH,2001,26,11,13,1,116,1169
HARYANA,PANCHKULA,2001,12,6,18,5,226,1054
HARYANA,PANIPAT,2001,43,38,19,47,415,1895
HARYANA,REWARI,2001,21,11,13,7,155,1214
HARYANA,ROHTAK,2001,57,28,13,29,365,1856
HARYANA,SIRSA,2001,37,17,18,5,240,1768
HARYANA,SONIPAT,2001,73,15,26,28,347,1944
HARYANA,YAMUNANAGAR,2001,42,22,26,9,202,1405
HARYANA,TOTAL,2001,781,398,449,397,6117,38759
HIMACHAL PRADESH,BILASPUR,2001,8,5,10,3,49,1074
HIMACHAL PRADESH,CHAMBA,2001,13,12,17,1,29,555
HIMACHAL PRADESH,G.R.P.,2001,1,0,0,0,1,4
HIMACHAL PRADESH,HAMIRPUR,2001,2,3,3,1,17,747
HIMACHAL PRADESH,KANGRA,2001,24,18,30,4,108,2035
HIMACHAL PRADESH,KINNAUR,2001,5,6,3,0,2,147
HIMACHAL PRADESH,KULLU,2001,13,13,7,1,17,630
HIMACHAL PRADESH,LAHAUL-SPITI,2001,1,2,1,1,1,50
HIMACHAL PRADESH,MANDI,2001,18,16,11,3,64,1747
HIMACHAL PRADESH,SHIMLA,2001,14,18,13,7,188,1964
HIMACHAL PRADESH,SIRMAUR,2001,3,10,13,4,27,703
HIMACHAL PRADESH,SOLAN,2001,11,12,13,1,59,1130
HIMACHAL PRADESH,UNA,2001,6,9,5,2,38,713
HIMACHAL PRADESH,TOTAL,2001,119,124,126,28,600,11499
JAMMU & KASHMIR,ANANTNAG,2001,74,6,59,16,83,1104
JAMMU & KASHMIR,AWANTIPORA,2001,25,1,14,4,19,316
JAMMU & KASHMIR,BARAMULLA,2001,144,28,75,16,156,1533
JAMMU & KASHMIR,BORDER,2001,6,12,10,0,19,708
JAMMU & KASHMIR,BUDGAM,2001,78,7,40,2,94,812
JAMMU & KASHMIR,CRIME JAMMU,2001,0,0,0,0,0,27
JAMMU & KASHMIR,CRIME SRINAGAR,2001,0,0,0,0,0,69
JAMMU & KASHMIR,DODA,2001,104,7,15,6,18,627
JAMMU & KASHMIR,GANDERBAL,2001,24,5,33,0,44,395
JAMMU & KASHMIR,JAMMU,2001,27,13,43,4,479,3607
JAMMU & KASHMIR,KARGIL,2001,0,0,2,0,6,82
JAMMU & KASHMIR,KATHUA,2001,16,13,11,2,37,817
JAMMU & KASHMIR,KULGAM,2001,39,6,35,17,43,635
JAMMU & KASHMIR,KUPWARA,2001,141,6,47,1,39,1027
JAMMU & KASHMIR,LEH,2001,3,0,1,0,6,137
JAMMU & KASHMIR,POONCH,2001,100,13,16,0,67,766
JAMMU & KASHMIR,PULWAMA,2001,46,7,37,27,144,883
JAMMU & KASHMIR,RAILWAYS,2001,1,0,0,0,3,17
JAMMU & KASHMIR,RAJOURI,2001,76,17,20,4,21,965
JAMMU & KASHMIR,RAMBAN,2001,51,3,7,1,12,537
JAMMU & KASHMIR,REASI,2001,36,7,11,0,22,389
JAMMU & KASHMIR,SRINAGAR,2001,63,8,115,59,490,3042
JAMMU & KASHMIR,UDHAMPUR,2001,21,10,15,2,117,1010
JAMMU & KASHMIR,TOTAL,2001,1075,169,606,161,1919,19505
JHARKHAND,BOKARO,2001,70,26,38,66,435,1936
JHARKHAND,CHAIBASA,2001,109,32,17,9,99,669
JHARKHAND,CHATRA,2001,40,6,10,15,80,748
JHARKHAND,DEOGHAR,2001,47,22,7,15,129,1106
JHARKHAND,DHANBAD,2001,97,32,57,48,546,2916
JHARKHAND,DHANBAD RLY.,2001,11,2,4,13,209,360
JHARKHAND,DUMKA,2001,63,27,24,8,66,1016
JHARKHAND,GARHWA,2001,32,11,5,17,54,788
JHARKHAND,GIRIDIH,2001,63,42,15,27,111,1918
JHARKHAND,GODDA,2001,61,37,30,18,70,1030
JHARKHAND,GUMLA,2001,136,29,16,44,56,658
JHARKHAND,HAZARIBAGH,2001,76,41,42,68,348,2498
JHARKHAND,JAMSHEDPUR,2001,81,50,60,27,343,2712
JHARKHAND,JAMSHEDPUR RLY.,2001,4,1,0,4,65,148
JHARKHAND,JAMTARA,2001,22,18,14,9,68,473
JHARKHAND,KODERMA,2001,21,2,14,15,77,667
JHARKHAND,LATEHAR,2001,54,12,4,9,48,380
JHARKHAND,LOHARDAGGA,2001,33,12,14,11,28,311
JHARKHAND,PAKUR,2001,31,23,7,5,37,483
JHARKHAND,PALAMU,2001,73,15,14,32,94,1461
JHARKHAND,RANCHI,2001,243,73,1,140,647,1602
JHARKHAND,SAHEBGANJ,2001,47,20,17,8,80,628
JHARKHAND,SARAIKELA,2001,44,17,19,12,123,692
JHARKHAND,SIMDEGA,2001,49,17,12,27,14,247
JHARKHAND,TOTAL,2001,1507,567,441,647,3827,25447
KARNATAKA,BAGALKOT,2001,59,2,17,3,105,1710
KARNATAKA,BANGALORE COMMR.,2001,221,40,152,284,6293,27254
KARNATAKA,BANGALORE RURAL,2001,137,13,37,32,533,5209
KARNATAKA,BELGAUM,2001,120,8,27,47,386,5053
KARNATAKA,BELLARY,2001,58,16,14,20,303,3229
KARNATAKA,BIDAR,2001,48,7,19,36,202,4371
KARNATAKA,BIJAPUR,2001,51,6,24,21,202,2941
KARNATAKA,CHAMARAJNAGAR,2001,19,4,5,9,133,1390
KARNATAKA,CHICKMAGALUR,2001,41,8,12,10,222,2766
KARNATAKA,CHITRADURGA,2001,31,18,4,20,145,2691
KARNATAKA,DAKSHIN KANNADA,2001,33,3,9,8,219,3047
KARNATAKA,DAVANAGERE,2001,58,22,23,26,332,3301
KARNATAKA,DHARWAD COMMR.,2001,16,4,8,34,245,1902
KARNATAKA,DHARWAD RURAL,2001,25,3,3,5,38,899
KARNATAKA,GADAG,2001,22,2,4,13,55,899
KARNATAKA,GULBARGA,2001,95,20,35,61,268,4169
KARNATAKA,HASSAN,2001,64,20,17,23,268,4039
KARNATAKA,HAVERI,2001,24,3,12,10,111,2211
KARNATAKA,K.G.F.,2001,20,1,12,6,108,906
KARNATAKA,KODAGU,2001,26,4,4,3,87,1301
KARNATAKA,KOLAR,2001,69,17,21,25,284,3230
KARNATAKA,KOPPAL,2001,23,6,12,8,120,1406
KARNATAKA,MANDYA,2001,67,15,9,28,328,4807
KARNATAKA,MYSORE COMMR.,2001,32,2,11,32,326,1903
KARNATAKA,MYSORE RURAL,2001,53,12,14,0,200,2900
KARNATAKA,RAICHUR,2001,33,12,11,13,150,2384
KARNATAKA,RAILWAYS,2001,12,1,1,11,331,583
KARNATAKA,SHIMOGA,2001,56,12,14,15,292,4178
KARNATAKA,TUMKUR,2001,80,6,21,27,389,4141
KARNATAKA,UDUPI,2001,16,2,2,12,112,1959
KARNATAKA,UTTAR KANNADA,2001,17,4,5,5,81,2319
KARNATAKA,TOTAL,2001,1626,293,559,847,12868,109098
KERALA,ALAPUZHA,2001,22,21,8,18,195,7319
KERALA,CBCID,2001,22,2,2,1,5,250
KERALA,ERNAKULAM,2001,44,38,20,80,1264,14843
KERALA,IDUKKI,2001,33,34,0,16,254,5421
KERALA,KANNUR,2001,26,42,12,18,213,5888
KERALA,KASARGOD,2001,18,28,4,9,145,3116
KERALA,KOLLAM,2001,41,55,16,62,291,9282
KERALA,KOTTAYAM,2001,34,22,18,54,373,7082
KERALA,KOZHIKODE,2001,34,39,12,15,428,8394
KERALA,MALAPPURAM,2001,23,71,17,11,340,7428
KERALA,PALAKKAD,2001,45,63,14,30,315,6516
KERALA,PATHANAMTHITTA,2001,20,12,0,7,129,4100
KERALA,RAILWAYS,2001,0,1,0,2,197,289
KERALA,THRISSUR,2001,42,42,18,82,516,10465
KERALA,TRIVANDRUM,2001,53,57,41,104,636,11368
KERALA,WAYANADU,2001,15,35,1,8,140,2086
KERALA,TOTAL,2001,472,562,183,517,5441,103847
MADHYA PRADESH,BALAGHAT,2001,56,87,11,7,226,2925
MADHYA PRADESH,BARWANI,2001,41,34,2,18,237,2008
MADHYA PRADESH,BETUL,2001,56,95,19,18,246,2637
MADHYA PRADESH,BHIND,2001,63,31,47,28,283,3361
MADHYA PRADESH,BHOPAL,2001,61,106,55,99,1351,13708
MADHYA PRADESH,BHOPAL RLY.,2001,5,1,2,25,705,1036
MADHYA PRADESH,CHHATARPUR,2001,54,65,28,42,163,3361
MADHYA PRADESH,CHHINDWARA,2001,78,93,18,18,239,3672
MADHYA PRADESH,DAMOH,2001,43,66,18,24,188,2879
MADHYA PRADESH,DATIYA,2001,53,12,25,26,103,1866
MADHYA PRADESH,DEWAS,2001,50,78,20,67,677,5039
MADHYA PRADESH,DHAR,2001,89,68,22,35,651,4910
MADHYA PRADESH,DINDORI,2001,13,20,2,2,44,821
MADHYA PRADESH,GUNA,2001,71,124,17,50,350,6001
MADHYA PRADESH,GWALIOR,2001,84,59,46,144,925,6846
MADHYA PRADESH,HARDA,2001,14,28,2,3,74,746
MADHYA PRADESH,HOSHANGABAD,2001,53,65,16,31,286,2741
MADHYA PRADESH,INDORE,2001,111,84,50,112,2708,13063
MADHYA PRADESH,INDORE RLY.,2001,6,2,0,7,193,353
MADHYA PRADESH,JABALPUR,2001,103,108,33,126,887,8333
MADHYA PRADESH,JABALPUR RLY.,2001,3,0,0,15,221,359
MADHYA PRADESH,JHABUA,2001,124,44,83,20,269,3416
MADHYA PRADESH,KATNI,2001,51,25,9,29,239,2285
MADHYA PRADESH,KHANDWA,2001,41,63,14,11,290,3911
MADHYA PRADESH,KHARGON,2001,47,47,15,21,533,3499
MADHYA PRADESH,MANDLA,2001,35,64,9,11,116,2122
MADHYA PRADESH,MANDSAUR,2001,28,41,15,32,444,2616
MADHYA PRADESH,MORENA,2001,63,35,35,76,564,5229
MADHYA PRADESH,NARSINGHPUR,2001,38,70,7,11,149,2311
MADHYA PRADESH,NEEMUCH,2001,17,37,16,15,376,2208
MADHYA PRADESH,PANNA,2001,24,44,11,10,99,1921
MADHYA PRADESH,RAISEN,2001,39,79,11,27,187,3009
MADHYA PRADESH,RAJGARH,2001,42,95,12,35,218,3718
MADHYA PRADESH,RATLAM,2001,58,70,21,54,468,3342
MADHYA PRADESH,REWA,2001,53,31,26,67,410,4603
MADHYA PRADESH,SAGAR,2001,84,141,30,53,497,7681
MADHYA PRADESH,SATNA,2001,49,58,16,52,495,4763
MADHYA PRADESH,SEONI,2001,40,52,3,6,161,2143
MADHYA PRADESH,SHAHDOL,2001,57,63,13,34,390,4162
MADHYA PRADESH,SHAJAPUR,2001,42,90,13,47,588,3663
MADHYA PRADESH,SHEOPUR,2001,24,21,18,10,94,1053
MADHYA PRADESH,SHIVPURI,2001,88,72,20,48,255,4321
MADHYA PRADESH,SIDHI,2001,36,42,33,15,346,3508
MADHYA PRADESH,SIHORE,2001,35,59,29,19,364,3389
MADHYA PRADESH,TIKAMGARH,2001,53,86,7,46,172,3078
MADHYA PRADESH,UJJAIN,2001,84,59,44,79,1387,7641
MADHYA PRADESH,UMARIYA,2001,19,25,3,19,127,1849
MADHYA PRADESH,VIDISHA,2001,47,112,10,20,268,3635
MADHYA PRADESH,TOTAL,2001,2425,2851,956,1764,20263,181741
MAHARASHTRA,AHMEDNAGAR,2001,97,44,37,104,715,4391
MAHARASHTRA,AKOLA,2001,64,15,15,41,735,4020
MAHARASHTRA,AMRAVATI COMMR.,2001,44,23,27,48,812,2837
MAHARASHTRA,AMRAVATI RURAL,2001,72,42,29,36,1031,3655
MAHARASHTRA,AURANGABAD COMMR.,2001,36,14,19,40,503,2351
MAHARASHTRA,AURANGABAD RURAL,2001,61,28,16,49,273,2708
MAHARASHTRA,BEED,2001,68,22,25,62,499,3644
MAHARASHTRA,BHANDARA,2001,32,39,4,15,402,2252
MAHARASHTRA,BULDHANA,2001,49,22,22,27,749,3701
MAHARASHTRA,CHANDRAPUR,2001,49,43,10,36,572,3123
MAHARASHTRA,DHULE,2001,48,16,6,13,360,2040
MAHARASHTRA,GADCHIROLI,2001,47,27,7,15,124,1364
MAHARASHTRA,GONDIA,2001,41,23,17,13,326,2006
MAHARASHTRA,HINGOLI,2001,36,20,9,39,241,1841
MAHARASHTRA,JALGAON,2001,83,19,16,30,557,4014
MAHARASHTRA,JALNA,2001,43,16,12,46,345,2529
MAHARASHTRA,KOLHAPUR,2001,54,26,21,32,561,3162
MAHARASHTRA,LATUR,2001,42,7,22,31,281,3044
MAHARASHTRA,MUMBAI,2001,295,127,148,406,11564,28968
MAHARASHTRA,MUMBAI RLY.,2001,12,2,1,29,1756,2023
MAHARASHTRA,NAGPUR COMMR.,2001,112,39,64,171,2666,9912
MAHARASHTRA,NAGPUR RLY.,2001,12,2,0,20,762,1056
MAHARASHTRA,NAGPUR RURAL,2001,101,81,23,58,1074,5680
MAHARASHTRA,NANDED,2001,80,23,41,93,539,5348
MAHARASHTRA,NANDURBAR,2001,44,16,6,5,132,1079
MAHARASHTRA,NASIK COMMR.,2001,25,9,14,16,529,2195
MAHARASHTRA,NASIK RURAL,2001,92,39,17,36,447,4880
MAHARASHTRA,NAVI MUMBAI,2001,34,17,19,62,893,3063
MAHARASHTRA,OSMANABAD,2001,48,16,8,29,349,2702
MAHARASHTRA,PARBHANI,2001,49,25,22,43,230,2475
MAHARASHTRA,PUNE COMMR.,2001,71,56,46,98,2508,8936
MAHARASHTRA,PUNE RLY.,2001,4,0,0,4,302,386
MAHARASHTRA,PUNE RURAL,2001,119,42,24,70,635,4380
MAHARASHTRA,RAIGAD,2001,53,20,8,27,296,2218
MAHARASHTRA,RATNAGIRI,2001,17,10,8,14,256,1431
MAHARASHTRA,SANGLI,2001,85,32,18,27,515,2999
MAHARASHTRA,SATARA,2001,57,32,12,20,464,3465
MAHARASHTRA,SINDHUDURG,2001,14,7,2,4,106,821
MAHARASHTRA,SOLAPUR COMMR.,2001,30,16,15,32,306,1567
MAHARASHTRA,SOLAPUR RURAL,2001,101,35,23,29,365,3145
MAHARASHTRA,THANE COMMR.,2001,133,39,62,146,1774,6616
MAHARASHTRA,THANE RURAL,2001,140,65,28,53,523,3780
MAHARASHTRA,WARDHA,2001,60,35,12,20,592,3443
MAHARASHTRA,WASHIM,2001,29,15,13,17,409,1826
MAHARASHTRA,YAVATMAL,2001,56,56,37,33,788,4157
MAHARASHTRA,TOTAL,2001,2839,1302,985,2239,39866,171233
MANIPUR,BISHNUPUR,2001,29,1,3,2,11,226
MANIPUR,CHANDEL,2001,7,0,1,4,1,74
MANIPUR,CHURACHANDPUR,2001,35,1,0,0,12,132
MANIPUR,IMPHAL(EAST),2001,29,7,13,1,28,337
MANIPUR,IMPHAL(WEST),2001,44,7,48,2,121,1084
MANIPUR,SENAPATI,2001,27,0,6,1,9,176
MANIPUR,TAMENGLONG,2001,2,0,0,0,4,14
MANIPUR,THOUBAL,2001,32,4,22,6,20,403
MANIPUR,UKHRUL,2001,4,0,1,3,11,43
MANIPUR,TOTAL,2001,209,20,94,19,217,2489
MEGHALAYA,GARO HILLS EAST,2001,16,2,5,14,16,134
MEGHALAYA,GARO HILLS SOUTH,2001,6,1,2,4,8,49
MEGHALAYA,GARO HILLS WEST,2001,19,5,14,4,30,235
MEGHALAYA,JAINTIA HILLS,2001,35,7,6,7,30,214
MEGHALAYA,KHASI HILLS EAST,2001,50,5,20,68,142,754
MEGHALAYA,KHASI HILLS WEST,2001,16,4,0,16,23,125
MEGHALAYA,RI-BHOI,2001,22,2,8,12,22,176
MEGHALAYA,TOTAL,2001,164,26,55,125,271,1687
MIZORAM,AIZAWL,2001,12,26,0,8,562,1126
MIZORAM,CHAMPHAI,2001,2,7,1,0,51,203
MIZORAM,KOLASIB,2001,3,6,0,0,83,216
MIZORAM,LAWNGTLAI,2001,2,2,0,0,25,160
MIZORAM,LUNGLEI,2001,5,3,0,0,120,229
MIZORAM,MAMIT,2001,4,0,0,13,12,74
MIZORAM,SAIHA,2001,2,3,0,1,0,182
MIZORAM,SERCHHIP,2001,1,5,1,1,25,56
MIZORAM,TOTAL,2001,31,52,2,23,878,2246
NAGALAND,DIMAPUR,2001,36,4,13,89,114,464
NAGALAND,KIPHIRE,2001,1,0,0,0,5,18
